FECHA,max_SO2,min_SO2,mean_SO2,median_SO2,max_PART,min_PART,mean_PART,median_PART,max_NO2,min_NO2,mean_NO2,median_NO2,max_CO,min_CO,mean_CO,median_CO,max_O3,min_O3,mean_O3,median_O3
2015-04-07,15,2,5.17708333333333,4,45,5,12.9583333333333,5.5,25,5,7.93402777777778,8,442,52,174.736111111111,167,109,75,97.8784722222222,98
2015-04-08,15,1,5.64236111111111,5,48,5,16.9861111111111,9.5,48,4,9.95486111111111,8,307,50,163.336805555556,171.5,114,55,100.041666666667,103
2015-04-09,11,1,4.71180555555556,4,49,5,13.9618055555556,5,52,6,14.1180555555556,11,411,7,177.21875,158,107,8,81.78125,87
2015-04-10,8,2,4.52777777777778,4,45,5,16.5104166666667,6,103,8,17.25,13,724,57,164.350694444444,140,118,10,77.1215277777778,72.5
2015-04-11,8,2,3.9375,4,73,5,17.8055555555556,5,83,7,19.4895833333333,15,680,54,154.072916666667,138.5,111,4,71.6111111111111,77
2015-04-12,11,2,4.39583333333333,4,52,5,15.1527777777778,5,78,5,12.1284722222222,8,687,55,142.128472222222,130,121,5,82.5798611111111,95
2015-04-13,10,1,4.65957446808511,4,58,5,24.1595744680851,5,18,3,7.87943262411348,8,444,53,180.808510638298,158,137,87,108.109929078014,108
2015-04-14,15,1,5.35416666666667,4,77,5,28.9930555555556,5,15,2,7.07638888888889,7,291,7,119.402777777778,141,119,8,104.388888888889,106
2015-04-15,14,2,4.94444444444444,4,70,5,23.5451388888889,5,41,4,13.8263888888889,12,396,50,145.364583333333,133.5,117,56,88.8923611111111,89
2015-04-16,10,1,3.76736111111111,4,42,5,11.1354166666667,5,72,6,15.9166666666667,13,592,56,147.840277777778,109,108,26,77.9548611111111,79
2015-04-17,7,3,4.30555555555556,4,38,5,12.3402777777778,7.5,75,6,17.8368055555556,14,572,55,159.010416666667,120.5,120,11,78.4166666666667,79
2015-04-18,8,3,4.61111111111111,4,35,5,13.1840277777778,6.5,63,6,14.9305555555556,13,477,50,118.357638888889,110,120,26,86.6909722222222,92.5
2015-04-19,11,3,5.24652777777778,4,27,5,8.96875,5,64,4,12.1631944444444,10,385,53,134.5,128,115,23,84.0104166666667,87
2015-04-20,11,2,4.72916666666667,4,37,5,10.9826388888889,5,70,6,19.3923611111111,14,409,7,153.305555555556,136.5,126,7,79.6979166666667,75
2015-04-21,12,1,5.40070921985816,5,30,5,9.40425531914894,5,19,4,7.70212765957447,7,271,50,118.645390070922,126,116,94,105.758865248227,106
2015-04-22,9,1,4.55902777777778,4,40,5,15.0694444444444,7.5,37,5,12.96875,12,671,52,220.479166666667,168,124,29,83.1388888888889,88
2015-04-23,8,3,4.80555555555556,5,73,5,15.9618055555556,5.5,85,9,21.75,17,629,50,203.670138888889,174.5,142,7,71.59375,71.5
2015-04-24,11,2,5.15625,5,55,5,16.1493055555556,9,96,10,22.8854166666667,17,624,50,210.222222222222,196,142,5,66.0451388888889,66
2015-04-25,9,1,4.55208333333333,5,28,5,10.6284722222222,5,25,7,12.4618055555556,12,553,58,192.420138888889,170,109,18,55.9548611111111,56
2015-04-26,9,2,4.34722222222222,4,23,5,7.67708333333333,5,25,3,8.25,8,431,68,184.607638888889,163,109,17,59.8888888888889,65
2015-04-27,10,2,4.70671378091873,4,25,5,7.49469964664311,5,41,2,11.2968197879859,10,433,7,146.759717314488,120,104,8,70.8763250883392,78
2015-04-28,8,2,4.45486111111111,4,37,5,9.43402777777778,5,67,7,16.8923611111111,13,445,56,138.753472222222,118.5,111,7,70.2013888888889,78
2015-04-29,11,2,5.10763888888889,4,54,5,10.0347222222222,5,73,8,17.9340277777778,15,613,58,200.454861111111,181.5,130,16,68.5798611111111,70
2015-04-30,11,2,4.96875,4,47,5,10.4375,5,123,8,23.5972222222222,17,711,66,184.34375,149,122,4,65.3472222222222,65
2015-05-01,12,2,4.21180555555556,4,46,5,11.5520833333333,5,92,7,18.6909722222222,14,589,62,148.71875,124,118,4,66.0555555555556,65
2015-05-02,12,1,4.78616352201258,4,30,5,15.6100628930818,16,70,8,19.251572327044,15,651,54,145.62893081761,130,139,10,78.5408805031446,78
2015-05-03,10,1,5.29861111111111,5,33,5,20.2361111111111,21,43,8,18.5277777777778,17,414,50,170.729166666667,150,122,41,87.6597222222222,84
2015-05-04,11,2,5.40277777777778,5,43,5,22.7083333333333,21.5,55,9,17.7083333333333,17,236,50,98.9722222222222,84.5,114,41,72.4444444444444,70
2015-05-05,8,1,3.86111111111111,3,29,5,17.2222222222222,18,51,6,16.4722222222222,15,295,50,137.243055555556,123.5,99,40,68.1875,64.5
2015-05-06,10,2,4.85232067510549,4,31,5,12.1518987341772,13,114,8,20.5485232067511,15,383,7,130.915611814346,111,123,12,73.3417721518987,76
2015-05-07,18,1,5.88194444444444,4,55,5,14.2465277777778,5,102,6,23.5625,16,639,7,182.319444444444,164,143,8,70.3923611111111,65
2015-05-08,9,2,4.54861111111111,4,41,5,13.7916666666667,5.5,83,8,16.4131944444444,14,415,50,167.819444444444,160.5,101,9,52.84375,48
2015-05-09,10,3,4.95833333333333,4,39,5,11.9895833333333,5,122,7,18.2708333333333,13.5,376,51,170.600694444444,153.5,125,5,57.8055555555556,55
2015-05-10,10,1,4.6875,4,38,5,11.7638888888889,6,57,6,10.9340277777778,9,487,50,150.034722222222,137.5,131,22,86.2326388888889,97
2015-05-11,10,1,5.29749103942652,5,59,5,17.6129032258065,15,100,6,17.8996415770609,14,383,7,83.1218637992831,72,153,8,93.989247311828,100
2015-05-12,9,1,4.97569444444444,5,53,5,19.3576388888889,11.5,150,7,23.5833333333333,16,671,50,138.909722222222,132.5,168,17,107.263888888889,109
2015-05-13,10,1,4.54909090909091,5,71,5,25.5090909090909,5,110,7,25.6945454545455,20,512,50,125.916363636364,136,173,4,105.098181818182,112
2015-05-14,9,1,5.30555555555556,5,107,5,33.03125,16,87,7,27.6111111111111,23,361,50,112.829861111111,118,131,4,75.7534722222222,80
2015-05-15,13,1,5.51736111111111,5,45,5,12.7152777777778,5.5,31,5,11.2881944444444,10,254,50,108.607638888889,121,131,64,102.288194444444,99
2015-05-16,14,1,6.20486111111111,5,52,5,8.52083333333333,5,143,4,13.1666666666667,8,784,51,155.569444444444,137,143,4,95.0659722222222,93
2015-05-17,15,1,6.10416666666667,5,245,5,19.4826388888889,5,78,5,11.0902777777778,9,453,76,171.322916666667,136,127,27,100.020833333333,99
2015-05-18,12,1,4.79505300353357,5,52,5,13.2932862190813,5,51,4,11.1872791519435,8,834,7,191.289752650177,147,139,8,115.04593639576,117
2015-05-19,18,1,6.22916666666667,5.5,47,5,16.8402777777778,10,31,4,13.3333333333333,12,520,52,221.604166666667,148,126,52,100.385416666667,102.5
2015-05-20,9,1,4.53472222222222,4,44,5,10.4965277777778,5,37,6,12.3368055555556,10,427,50,128.538194444444,100.5,120,51,82.0590277777778,77
2015-05-21,13,1,6.0573476702509,5,41,5,11.3584229390681,5,47,5,13.6989247311828,12,551,50,204.491039426523,162,116,36,87.9426523297491,89
2015-05-22,13,1,6.34722222222222,5,60,5,11.6284722222222,5,68,5,16.2256944444444,13,740,50,207.454861111111,149,130,21,87.9375,86.5
2015-05-23,9,1,5.49652777777778,5,31,5,12.2673611111111,5,37,5,10.2673611111111,9,329,64,146.96875,124.5,118,45,95.4652777777778,97
2015-05-24,8,4,5.39930555555556,5,35,5,13.0590277777778,5.5,34,5,10.3090277777778,9,470,67,199.225694444444,133.5,106,64,86.9375,87
